mnemonic,opcode,subsystem,criticality,description,fsw_min_version
CMD_ADCS_RW_SPIN_099,0x1DF4,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 99),1.0
CMD_ADCS_RW_STOP_099,0x1DF5,ADCS,CRITICAL,Stop reaction wheel (variant 99),1.0
CMD_ADCS_MTQ_FIRE_099,0x1DF6,ADCS,NOMINAL,Fire magnetorquer along axis (variant 99),1.0
CMD_ADCS_STAR_TRACK_099,0x1DF7,ADCS,HAZARDOUS,Begin star tracker tracking (variant 99),1.0
CMD_ADCS_ATT_SLEW_099,0x1DF8,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 99),1.0
CMD_COMM_TX_ENABLE_099,0x1DF9,COMM,CRITICAL,Enable transmitter on band (variant 99),1.0
CMD_COMM_TX_DISABLE_099,0x1DFA,COMM,NOMINAL,Disable transmitter on band (variant 99),1.0
CMD_COMM_TX_POWER_099,0x1DFB,COMM,CRITICAL,Set transmitter output power (variant 99),1.0
CMD_COMM_DUMP_START_099,0x1DFC,COMM,NOMINAL,Start virtual-channel data dump (variant 99),1.0
CMD_COMM_DUMP_STOP_099,0x1DFD,COMM,CRITICAL,Stop virtual-channel data dump (variant 99),1.0
CMD_CDH_BOOT_WARM_099,0x1DFE,CDH,NOMINAL,Warm reboot of flight processor (variant 99),1.0
CMD_CDH_BOOT_COLD_099,0x1DFF,CDH,NOMINAL,Cold reboot of flight processor (variant 99),1.0
CMD_CDH_TIME_SYNC_099,0x1E00,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 99),1.0
CMD_CDH_FILE_DELETE_099,0x1E01,CDH,NOMINAL,Delete onboard file by path (variant 99),1.0
CMD_CDH_MEM_DUMP_099,0x1E02,CDH,NOMINAL,Dump memory region (variant 99),1.0
CMD_CDH_MEM_PATCH_099,0x1E03,CDH,NOMINAL,Patch memory region (variant 99),1.0
CMD_THERMAL_HTR_ON_099,0x1E04,THERMAL,NOMINAL,Turn on heater zone (variant 99),1.0
CMD_THERMAL_HTR_OFF_099,0x1E05,THERMAL,NOMINAL,Turn off heater zone (variant 99),1.0
CMD_THERMAL_HTR_AUTO_099,0x1E06,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 99),1.0
CMD_PAYLOAD_IMG_CAPTURE_099,0x1E07,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 99),1.0
CMD_PAYLOAD_IMG_ABORT_099,0x1E08,PAYLOAD,HAZARDOUS,Abort current image capture (variant 99),1.0
CMD_PAYLOAD_INST_ON_099,0x1E09,PAYLOAD,NOMINAL,Power on instrument (variant 99),1.0
CMD_PAYLOAD_INST_OFF_099,0x1E0A,PAYLOAD,NOMINAL,Power off instrument (variant 99),1.0
CMD_PAYLOAD_INST_CAL_099,0x1E0B,PAYLOAD,NOMINAL,Run instrument calibration (variant 99),1.0
CMD_PROP_VALVE_OPEN_099,0x1E0C,PROP,NOMINAL,Open propulsion valve (variant 99),1.0
CMD_PROP_VALVE_CLOSE_099,0x1E0D,PROP,NOMINAL,Close propulsion valve (variant 99),1.0
CMD_PROP_BURN_EXEC_099,0x1E0E,PROP,NOMINAL,Execute commanded delta-v burn (variant 99),1.0
CMD_PROP_BURN_ABORT_099,0x1E0F,PROP,NOMINAL,Abort active propulsive maneuver (variant 99),1.0
CMD_EPS_PWR_ON_100,0x1E10,EPS,NOMINAL,Enable power channel in specified mode (variant 100),1.0
CMD_EPS_PWR_OFF_100,0x1E11,EPS,HAZARDOUS,Disable power channel (variant 100),1.0
CMD_EPS_BATT_TRICKLE_100,0x1E12,EPS,NOMINAL,Set battery trickle charge rate (variant 100),1.0
CMD_EPS_BATT_RESET_100,0x1E13,EPS,NOMINAL,Reset battery management controller (variant 100),1.0
CMD_EPS_SOLAR_DEPLOY_100,0x1E14,EPS,NOMINAL,Deploy solar array (variant 100),1.0
CMD_EPS_SOLAR_STOW_100,0x1E15,EPS,CRITICAL,Stow solar array (variant 100),1.0
CMD_ADCS_MODE_SET_100,0x1E16,ADCS,NOMINAL,Set ADCS control mode (variant 100),1.0
CMD_ADCS_MODE_SAFE_100,0x1E17,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 100),1.0
CMD_ADCS_RW_SPIN_100,0x1E18,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 100),1.0
CMD_ADCS_RW_STOP_100,0x1E19,ADCS,CRITICAL,Stop reaction wheel (variant 100),1.0
CMD_ADCS_MTQ_FIRE_100,0x1E1A,ADCS,NOMINAL,Fire magnetorquer along axis (variant 100),1.0
CMD_ADCS_STAR_TRACK_100,0x1E1B,ADCS,HAZARDOUS,Begin star tracker tracking (variant 100),1.0
CMD_ADCS_ATT_SLEW_100,0x1E1C,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 100),1.0
CMD_COMM_TX_ENABLE_100,0x1E1D,COMM,CRITICAL,Enable transmitter on band (variant 100),1.0
CMD_COMM_TX_DISABLE_100,0x1E1E,COMM,NOMINAL,Disable transmitter on band (variant 100),1.0
CMD_COMM_TX_POWER_100,0x1E1F,COMM,CRITICAL,Set transmitter output power (variant 100),1.0
CMD_COMM_DUMP_START_100,0x1E20,COMM,NOMINAL,Start virtual-channel data dump (variant 100),1.0
CMD_COMM_DUMP_STOP_100,0x1E21,COMM,CRITICAL,Stop virtual-channel data dump (variant 100),1.0
CMD_CDH_BOOT_WARM_100,0x1E22,CDH,NOMINAL,Warm reboot of flight processor (variant 100),1.0
CMD_CDH_BOOT_COLD_100,0x1E23,CDH,NOMINAL,Cold reboot of flight processor (variant 100),1.0
CMD_CDH_TIME_SYNC_100,0x1E24,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 100),1.0
CMD_CDH_FILE_DELETE_100,0x1E25,CDH,NOMINAL,Delete onboard file by path (variant 100),1.0
CMD_CDH_MEM_DUMP_100,0x1E26,CDH,NOMINAL,Dump memory region (variant 100),1.0
CMD_CDH_MEM_PATCH_100,0x1E27,CDH,NOMINAL,Patch memory region (variant 100),1.0
CMD_THERMAL_HTR_ON_100,0x1E28,THERMAL,NOMINAL,Turn on heater zone (variant 100),1.0
CMD_THERMAL_HTR_OFF_100,0x1E29,THERMAL,NOMINAL,Turn off heater zone (variant 100),1.0
CMD_THERMAL_HTR_AUTO_100,0x1E2A,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 100),1.0
CMD_PAYLOAD_IMG_CAPTURE_100,0x1E2B,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 100),1.0
CMD_PAYLOAD_IMG_ABORT_100,0x1E2C,PAYLOAD,HAZARDOUS,Abort current image capture (variant 100),1.0
CMD_PAYLOAD_INST_ON_100,0x1E2D,PAYLOAD,NOMINAL,Power on instrument (variant 100),1.0
CMD_PAYLOAD_INST_OFF_100,0x1E2E,PAYLOAD,NOMINAL,Power off instrument (variant 100),1.0
CMD_PAYLOAD_INST_CAL_100,0x1E2F,PAYLOAD,NOMINAL,Run instrument calibration (variant 100),1.0
CMD_PROP_VALVE_OPEN_100,0x1E30,PROP,NOMINAL,Open propulsion valve (variant 100),1.0
CMD_PROP_VALVE_CLOSE_100,0x1E31,PROP,NOMINAL,Close propulsion valve (variant 100),1.0
CMD_PROP_BURN_EXEC_100,0x1E32,PROP,NOMINAL,Execute commanded delta-v burn (variant 100),1.0
CMD_PROP_BURN_ABORT_100,0x1E33,PROP,NOMINAL,Abort active propulsive maneuver (variant 100),1.0
CMD_EPS_PWR_ON_101,0x1E34,EPS,NOMINAL,Enable power channel in specified mode (variant 101),1.0
CMD_EPS_PWR_OFF_101,0x1E35,EPS,HAZARDOUS,Disable power channel (variant 101),1.0
CMD_EPS_BATT_TRICKLE_101,0x1E36,EPS,NOMINAL,Set battery trickle charge rate (variant 101),1.0
CMD_EPS_BATT_RESET_101,0x1E37,EPS,NOMINAL,Reset battery management controller (variant 101),1.0
CMD_EPS_SOLAR_DEPLOY_101,0x1E38,EPS,NOMINAL,Deploy solar array (variant 101),1.0
CMD_EPS_SOLAR_STOW_101,0x1E39,EPS,CRITICAL,Stow solar array (variant 101),1.0
CMD_ADCS_MODE_SET_101,0x1E3A,ADCS,NOMINAL,Set ADCS control mode (variant 101),1.0
CMD_ADCS_MODE_SAFE_101,0x1E3B,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 101),1.0
CMD_ADCS_RW_SPIN_101,0x1E3C,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 101),1.0
CMD_ADCS_RW_STOP_101,0x1E3D,ADCS,CRITICAL,Stop reaction wheel (variant 101),1.0
CMD_ADCS_MTQ_FIRE_101,0x1E3E,ADCS,NOMINAL,Fire magnetorquer along axis (variant 101),1.0
CMD_ADCS_STAR_TRACK_101,0x1E3F,ADCS,HAZARDOUS,Begin star tracker tracking (variant 101),1.0
CMD_ADCS_ATT_SLEW_101,0x1E40,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 101),1.0
CMD_COMM_TX_ENABLE_101,0x1E41,COMM,CRITICAL,Enable transmitter on band (variant 101),1.0
CMD_COMM_TX_DISABLE_101,0x1E42,COMM,NOMINAL,Disable transmitter on band (variant 101),1.0
CMD_COMM_TX_POWER_101,0x1E43,COMM,CRITICAL,Set transmitter output power (variant 101),1.0
CMD_COMM_DUMP_START_101,0x1E44,COMM,NOMINAL,Start virtual-channel data dump (variant 101),1.0
CMD_COMM_DUMP_STOP_101,0x1E45,COMM,CRITICAL,Stop virtual-channel data dump (variant 101),1.0
CMD_CDH_BOOT_WARM_101,0x1E46,CDH,NOMINAL,Warm reboot of flight processor (variant 101),1.0
CMD_CDH_BOOT_COLD_101,0x1E47,CDH,NOMINAL,Cold reboot of flight processor (variant 101),1.0
CMD_CDH_TIME_SYNC_101,0x1E48,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 101),1.0
CMD_CDH_FILE_DELETE_101,0x1E49,CDH,NOMINAL,Delete onboard file by path (variant 101),1.0
CMD_CDH_MEM_DUMP_101,0x1E4A,CDH,NOMINAL,Dump memory region (variant 101),1.0
CMD_CDH_MEM_PATCH_101,0x1E4B,CDH,NOMINAL,Patch memory region (variant 101),1.0
CMD_THERMAL_HTR_ON_101,0x1E4C,THERMAL,NOMINAL,Turn on heater zone (variant 101),1.0
CMD_THERMAL_HTR_OFF_101,0x1E4D,THERMAL,NOMINAL,Turn off heater zone (variant 101),1.0
CMD_THERMAL_HTR_AUTO_101,0x1E4E,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 101),1.0
CMD_PAYLOAD_IMG_CAPTURE_101,0x1E4F,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 101),1.0
CMD_PAYLOAD_IMG_ABORT_101,0x1E50,PAYLOAD,HAZARDOUS,Abort current image capture (variant 101),1.0
CMD_PAYLOAD_INST_ON_101,0x1E51,PAYLOAD,NOMINAL,Power on instrument (variant 101),1.0
CMD_PAYLOAD_INST_OFF_101,0x1E52,PAYLOAD,NOMINAL,Power off instrument (variant 101),1.0
CMD_PAYLOAD_INST_CAL_101,0x1E53,PAYLOAD,NOMINAL,Run instrument calibration (variant 101),1.0
CMD_PROP_VALVE_OPEN_101,0x1E54,PROP,NOMINAL,Open propulsion valve (variant 101),1.0
CMD_PROP_VALVE_CLOSE_101,0x1E55,PROP,NOMINAL,Close propulsion valve (variant 101),1.0
CMD_PROP_BURN_EXEC_101,0x1E56,PROP,NOMINAL,Execute commanded delta-v burn (variant 101),1.0
CMD_PROP_BURN_ABORT_101,0x1E57,PROP,NOMINAL,Abort active propulsive maneuver (variant 101),1.0
CMD_EPS_PWR_ON_102,0x1E58,EPS,NOMINAL,Enable power channel in specified mode (variant 102),1.0
CMD_EPS_PWR_OFF_102,0x1E59,EPS,HAZARDOUS,Disable power channel (variant 102),1.0
CMD_EPS_BATT_TRICKLE_102,0x1E5A,EPS,NOMINAL,Set battery trickle charge rate (variant 102),1.0
CMD_EPS_BATT_RESET_102,0x1E5B,EPS,NOMINAL,Reset battery management controller (variant 102),1.0
CMD_EPS_SOLAR_DEPLOY_102,0x1E5C,EPS,NOMINAL,Deploy solar array (variant 102),1.0
CMD_EPS_SOLAR_STOW_102,0x1E5D,EPS,CRITICAL,Stow solar array (variant 102),1.0
CMD_ADCS_MODE_SET_102,0x1E5E,ADCS,NOMINAL,Set ADCS control mode (variant 102),1.0
CMD_ADCS_MODE_SAFE_102,0x1E5F,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 102),1.0
CMD_ADCS_RW_SPIN_102,0x1E60,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 102),1.0
CMD_ADCS_RW_STOP_102,0x1E61,ADCS,CRITICAL,Stop reaction wheel (variant 102),1.0
CMD_ADCS_MTQ_FIRE_102,0x1E62,ADCS,NOMINAL,Fire magnetorquer along axis (variant 102),1.0
CMD_ADCS_STAR_TRACK_102,0x1E63,ADCS,HAZARDOUS,Begin star tracker tracking (variant 102),1.0
CMD_ADCS_ATT_SLEW_102,0x1E64,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 102),1.0
CMD_COMM_TX_ENABLE_102,0x1E65,COMM,CRITICAL,Enable transmitter on band (variant 102),1.0
CMD_COMM_TX_DISABLE_102,0x1E66,COMM,NOMINAL,Disable transmitter on band (variant 102),1.0
CMD_COMM_TX_POWER_102,0x1E67,COMM,CRITICAL,Set transmitter output power (variant 102),1.0
CMD_COMM_DUMP_START_102,0x1E68,COMM,NOMINAL,Start virtual-channel data dump (variant 102),1.0
CMD_COMM_DUMP_STOP_102,0x1E69,COMM,CRITICAL,Stop virtual-channel data dump (variant 102),1.0
CMD_CDH_BOOT_WARM_102,0x1E6A,CDH,NOMINAL,Warm reboot of flight processor (variant 102),1.0
CMD_CDH_BOOT_COLD_102,0x1E6B,CDH,NOMINAL,Cold reboot of flight processor (variant 102),1.0
CMD_CDH_TIME_SYNC_102,0x1E6C,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 102),1.0
CMD_CDH_FILE_DELETE_102,0x1E6D,CDH,NOMINAL,Delete onboard file by path (variant 102),1.0
CMD_CDH_MEM_DUMP_102,0x1E6E,CDH,NOMINAL,Dump memory region (variant 102),1.0
CMD_CDH_MEM_PATCH_102,0x1E6F,CDH,NOMINAL,Patch memory region (variant 102),1.0
CMD_THERMAL_HTR_ON_102,0x1E70,THERMAL,NOMINAL,Turn on heater zone (variant 102),1.0
CMD_THERMAL_HTR_OFF_102,0x1E71,THERMAL,NOMINAL,Turn off heater zone (variant 102),1.0
CMD_THERMAL_HTR_AUTO_102,0x1E72,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 102),1.0
CMD_PAYLOAD_IMG_CAPTURE_102,0x1E73,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 102),1.0
CMD_PAYLOAD_IMG_ABORT_102,0x1E74,PAYLOAD,HAZARDOUS,Abort current image capture (variant 102),1.0
CMD_PAYLOAD_INST_ON_102,0x1E75,PAYLOAD,NOMINAL,Power on instrument (variant 102),1.0
CMD_PAYLOAD_INST_OFF_102,0x1E76,PAYLOAD,NOMINAL,Power off instrument (variant 102),1.0
CMD_PAYLOAD_INST_CAL_102,0x1E77,PAYLOAD,NOMINAL,Run instrument calibration (variant 102),1.0
CMD_PROP_VALVE_OPEN_102,0x1E78,PROP,NOMINAL,Open propulsion valve (variant 102),1.0
CMD_PROP_VALVE_CLOSE_102,0x1E79,PROP,NOMINAL,Close propulsion valve (variant 102),1.0
CMD_PROP_BURN_EXEC_102,0x1E7A,PROP,NOMINAL,Execute commanded delta-v burn (variant 102),1.0
CMD_PROP_BURN_ABORT_102,0x1E7B,PROP,NOMINAL,Abort active propulsive maneuver (variant 102),1.0
CMD_EPS_PWR_ON_103,0x1E7C,EPS,NOMINAL,Enable power channel in specified mode (variant 103),1.0
CMD_EPS_PWR_OFF_103,0x1E7D,EPS,HAZARDOUS,Disable power channel (variant 103),1.0
CMD_EPS_BATT_TRICKLE_103,0x1E7E,EPS,NOMINAL,Set battery trickle charge rate (variant 103),1.0
CMD_EPS_BATT_RESET_103,0x1E7F,EPS,NOMINAL,Reset battery management controller (variant 103),1.0
CMD_EPS_SOLAR_DEPLOY_103,0x1E80,EPS,NOMINAL,Deploy solar array (variant 103),1.0
CMD_EPS_SOLAR_STOW_103,0x1E81,EPS,CRITICAL,Stow solar array (variant 103),1.0
CMD_ADCS_MODE_SET_103,0x1E82,ADCS,NOMINAL,Set ADCS control mode (variant 103),1.0
CMD_ADCS_MODE_SAFE_103,0x1E83,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 103),1.0
CMD_ADCS_RW_SPIN_103,0x1E84,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 103),1.0
CMD_ADCS_RW_STOP_103,0x1E85,ADCS,CRITICAL,Stop reaction wheel (variant 103),1.0
CMD_ADCS_MTQ_FIRE_103,0x1E86,ADCS,NOMINAL,Fire magnetorquer along axis (variant 103),1.0
CMD_ADCS_STAR_TRACK_103,0x1E87,ADCS,HAZARDOUS,Begin star tracker tracking (variant 103),1.0
CMD_ADCS_ATT_SLEW_103,0x1E88,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 103),1.0
CMD_COMM_TX_ENABLE_103,0x1E89,COMM,CRITICAL,Enable transmitter on band (variant 103),1.0
CMD_COMM_TX_DISABLE_103,0x1E8A,COMM,NOMINAL,Disable transmitter on band (variant 103),1.0
CMD_COMM_TX_POWER_103,0x1E8B,COMM,CRITICAL,Set transmitter output power (variant 103),1.0
CMD_COMM_DUMP_START_103,0x1E8C,COMM,NOMINAL,Start virtual-channel data dump (variant 103),1.0
CMD_COMM_DUMP_STOP_103,0x1E8D,COMM,CRITICAL,Stop virtual-channel data dump (variant 103),1.0
CMD_CDH_BOOT_WARM_103,0x1E8E,CDH,NOMINAL,Warm reboot of flight processor (variant 103),1.0
CMD_CDH_BOOT_COLD_103,0x1E8F,CDH,NOMINAL,Cold reboot of flight processor (variant 103),1.0
CMD_CDH_TIME_SYNC_103,0x1E90,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 103),1.0
CMD_CDH_FILE_DELETE_103,0x1E91,CDH,NOMINAL,Delete onboard file by path (variant 103),1.0
CMD_CDH_MEM_DUMP_103,0x1E92,CDH,NOMINAL,Dump memory region (variant 103),1.0
CMD_CDH_MEM_PATCH_103,0x1E93,CDH,NOMINAL,Patch memory region (variant 103),1.0
CMD_THERMAL_HTR_ON_103,0x1E94,THERMAL,NOMINAL,Turn on heater zone (variant 103),1.0
CMD_THERMAL_HTR_OFF_103,0x1E95,THERMAL,NOMINAL,Turn off heater zone (variant 103),1.0
CMD_THERMAL_HTR_AUTO_103,0x1E96,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 103),1.0
CMD_PAYLOAD_IMG_CAPTURE_103,0x1E97,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 103),1.0
CMD_PAYLOAD_IMG_ABORT_103,0x1E98,PAYLOAD,HAZARDOUS,Abort current image capture (variant 103),1.0
CMD_PAYLOAD_INST_ON_103,0x1E99,PAYLOAD,NOMINAL,Power on instrument (variant 103),1.0
CMD_PAYLOAD_INST_OFF_103,0x1E9A,PAYLOAD,NOMINAL,Power off instrument (variant 103),1.0
CMD_PAYLOAD_INST_CAL_103,0x1E9B,PAYLOAD,NOMINAL,Run instrument calibration (variant 103),1.0
CMD_PROP_VALVE_OPEN_103,0x1E9C,PROP,NOMINAL,Open propulsion valve (variant 103),1.0
CMD_PROP_VALVE_CLOSE_103,0x1E9D,PROP,NOMINAL,Close propulsion valve (variant 103),1.0
CMD_PROP_BURN_EXEC_103,0x1E9E,PROP,NOMINAL,Execute commanded delta-v burn (variant 103),1.0
CMD_PROP_BURN_ABORT_103,0x1E9F,PROP,NOMINAL,Abort active propulsive maneuver (variant 103),1.0
CMD_EPS_PWR_ON_104,0x1EA0,EPS,NOMINAL,Enable power channel in specified mode (variant 104),1.0
CMD_EPS_PWR_OFF_104,0x1EA1,EPS,HAZARDOUS,Disable power channel (variant 104),1.0
CMD_EPS_BATT_TRICKLE_104,0x1EA2,EPS,NOMINAL,Set battery trickle charge rate (variant 104),1.0
CMD_EPS_BATT_RESET_104,0x1EA3,EPS,NOMINAL,Reset battery management controller (variant 104),1.0
CMD_EPS_SOLAR_DEPLOY_104,0x1EA4,EPS,NOMINAL,Deploy solar array (variant 104),1.0
CMD_EPS_SOLAR_STOW_104,0x1EA5,EPS,CRITICAL,Stow solar array (variant 104),1.0
CMD_ADCS_MODE_SET_104,0x1EA6,ADCS,NOMINAL,Set ADCS control mode (variant 104),1.0
CMD_ADCS_MODE_SAFE_104,0x1EA7,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 104),1.0
CMD_ADCS_RW_SPIN_104,0x1EA8,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 104),1.0
CMD_ADCS_RW_STOP_104,0x1EA9,ADCS,CRITICAL,Stop reaction wheel (variant 104),1.0
CMD_ADCS_MTQ_FIRE_104,0x1EAA,ADCS,NOMINAL,Fire magnetorquer along axis (variant 104),1.0
CMD_ADCS_STAR_TRACK_104,0x1EAB,ADCS,HAZARDOUS,Begin star tracker tracking (variant 104),1.0
CMD_ADCS_ATT_SLEW_104,0x1EAC,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 104),1.0
CMD_COMM_TX_ENABLE_104,0x1EAD,COMM,CRITICAL,Enable transmitter on band (variant 104),1.0
CMD_COMM_TX_DISABLE_104,0x1EAE,COMM,NOMINAL,Disable transmitter on band (variant 104),1.0
CMD_COMM_TX_POWER_104,0x1EAF,COMM,CRITICAL,Set transmitter output power (variant 104),1.0
CMD_COMM_DUMP_START_104,0x1EB0,COMM,NOMINAL,Start virtual-channel data dump (variant 104),1.0
CMD_COMM_DUMP_STOP_104,0x1EB1,COMM,CRITICAL,Stop virtual-channel data dump (variant 104),1.0
CMD_CDH_BOOT_WARM_104,0x1EB2,CDH,NOMINAL,Warm reboot of flight processor (variant 104),1.0
CMD_CDH_BOOT_COLD_104,0x1EB3,CDH,NOMINAL,Cold reboot of flight processor (variant 104),1.0
CMD_CDH_TIME_SYNC_104,0x1EB4,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 104),1.0
CMD_CDH_FILE_DELETE_104,0x1EB5,CDH,NOMINAL,Delete onboard file by path (variant 104),1.0
CMD_CDH_MEM_DUMP_104,0x1EB6,CDH,NOMINAL,Dump memory region (variant 104),1.0
CMD_CDH_MEM_PATCH_104,0x1EB7,CDH,NOMINAL,Patch memory region (variant 104),1.0
CMD_THERMAL_HTR_ON_104,0x1EB8,THERMAL,NOMINAL,Turn on heater zone (variant 104),1.0
CMD_THERMAL_HTR_OFF_104,0x1EB9,THERMAL,NOMINAL,Turn off heater zone (variant 104),1.0
CMD_THERMAL_HTR_AUTO_104,0x1EBA,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 104),1.0
CMD_PAYLOAD_IMG_CAPTURE_104,0x1EBB,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 104),1.0
CMD_PAYLOAD_IMG_ABORT_104,0x1EBC,PAYLOAD,HAZARDOUS,Abort current image capture (variant 104),1.0
CMD_PAYLOAD_INST_ON_104,0x1EBD,PAYLOAD,NOMINAL,Power on instrument (variant 104),1.0
CMD_PAYLOAD_INST_OFF_104,0x1EBE,PAYLOAD,NOMINAL,Power off instrument (variant 104),1.0
CMD_PAYLOAD_INST_CAL_104,0x1EBF,PAYLOAD,NOMINAL,Run instrument calibration (variant 104),1.0
CMD_PROP_VALVE_OPEN_104,0x1EC0,PROP,NOMINAL,Open propulsion valve (variant 104),1.0
CMD_PROP_VALVE_CLOSE_104,0x1EC1,PROP,NOMINAL,Close propulsion valve (variant 104),1.0
CMD_PROP_BURN_EXEC_104,0x1EC2,PROP,NOMINAL,Execute commanded delta-v burn (variant 104),1.0
CMD_PROP_BURN_ABORT_104,0x1EC3,PROP,NOMINAL,Abort active propulsive maneuver (variant 104),1.0
CMD_EPS_PWR_ON_105,0x1EC4,EPS,NOMINAL,Enable power channel in specified mode (variant 105),1.0
CMD_EPS_PWR_OFF_105,0x1EC5,EPS,HAZARDOUS,Disable power channel (variant 105),1.0
CMD_EPS_BATT_TRICKLE_105,0x1EC6,EPS,NOMINAL,Set battery trickle charge rate (variant 105),1.0
CMD_EPS_BATT_RESET_105,0x1EC7,EPS,NOMINAL,Reset battery management controller (variant 105),1.0
CMD_EPS_SOLAR_DEPLOY_105,0x1EC8,EPS,NOMINAL,Deploy solar array (variant 105),1.0
CMD_EPS_SOLAR_STOW_105,0x1EC9,EPS,CRITICAL,Stow solar array (variant 105),1.0
CMD_ADCS_MODE_SET_105,0x1ECA,ADCS,NOMINAL,Set ADCS control mode (variant 105),1.0
CMD_ADCS_MODE_SAFE_105,0x1ECB,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 105),1.0
CMD_ADCS_RW_SPIN_105,0x1ECC,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 105),1.0
CMD_ADCS_RW_STOP_105,0x1ECD,ADCS,CRITICAL,Stop reaction wheel (variant 105),1.0
CMD_ADCS_MTQ_FIRE_105,0x1ECE,ADCS,NOMINAL,Fire magnetorquer along axis (variant 105),1.0
CMD_ADCS_STAR_TRACK_105,0x1ECF,ADCS,HAZARDOUS,Begin star tracker tracking (variant 105),1.0
CMD_ADCS_ATT_SLEW_105,0x1ED0,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 105),1.0
CMD_COMM_TX_ENABLE_105,0x1ED1,COMM,CRITICAL,Enable transmitter on band (variant 105),1.0
CMD_COMM_TX_DISABLE_105,0x1ED2,COMM,NOMINAL,Disable transmitter on band (variant 105),1.0
CMD_COMM_TX_POWER_105,0x1ED3,COMM,CRITICAL,Set transmitter output power (variant 105),1.0
CMD_COMM_DUMP_START_105,0x1ED4,COMM,NOMINAL,Start virtual-channel data dump (variant 105),1.0
CMD_COMM_DUMP_STOP_105,0x1ED5,COMM,CRITICAL,Stop virtual-channel data dump (variant 105),1.0
CMD_CDH_BOOT_WARM_105,0x1ED6,CDH,NOMINAL,Warm reboot of flight processor (variant 105),1.0
CMD_CDH_BOOT_COLD_105,0x1ED7,CDH,NOMINAL,Cold reboot of flight processor (variant 105),1.0
CMD_CDH_TIME_SYNC_105,0x1ED8,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 105),1.0
CMD_CDH_FILE_DELETE_105,0x1ED9,CDH,NOMINAL,Delete onboard file by path (variant 105),1.0
CMD_CDH_MEM_DUMP_105,0x1EDA,CDH,NOMINAL,Dump memory region (variant 105),1.0
CMD_CDH_MEM_PATCH_105,0x1EDB,CDH,NOMINAL,Patch memory region (variant 105),1.0
CMD_THERMAL_HTR_ON_105,0x1EDC,THERMAL,NOMINAL,Turn on heater zone (variant 105),1.0
CMD_THERMAL_HTR_OFF_105,0x1EDD,THERMAL,NOMINAL,Turn off heater zone (variant 105),1.0
CMD_THERMAL_HTR_AUTO_105,0x1EDE,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 105),1.0
CMD_PAYLOAD_IMG_CAPTURE_105,0x1EDF,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 105),1.0
CMD_PAYLOAD_IMG_ABORT_105,0x1EE0,PAYLOAD,HAZARDOUS,Abort current image capture (variant 105),1.0
CMD_PAYLOAD_INST_ON_105,0x1EE1,PAYLOAD,NOMINAL,Power on instrument (variant 105),1.0
CMD_PAYLOAD_INST_OFF_105,0x1EE2,PAYLOAD,NOMINAL,Power off instrument (variant 105),1.0
CMD_PAYLOAD_INST_CAL_105,0x1EE3,PAYLOAD,NOMINAL,Run instrument calibration (variant 105),1.0
